00:06:52,10.61.132.1,down
00:06:52,10.61.133.1,up
00:06:55,10.61.6.1,up
00:06:56,10.56.41.161,up
00:06:58,10.61.129.1,up
00:06:59,10.61.129.144,up
00:07:02,10.61.130.1,down
00:07:04,10.61.131.1,up
00:07:06,יûגא,down
00:07:10,10.61.1.1,down
00:07:12,10.61.128.1,up
00:07:13,10.61.2.1,up
00:07:17,10.61.8.1,down
00:15:21,10.61.132.1,down
00:15:21,10.61.133.1,up
00:15:24,10.61.6.1,up
00:15:25,10.56.41.161,up
00:15:26,10.61.129.1,up
00:15:28,10.61.129.144,up
00:15:31,10.61.130.1,down
00:15:32,10.61.131.1,up
00:15:35,יûגא,down
00:15:38,10.61.1.1,down
00:15:40,10.61.128.1,up
00:15:41,10.61.2.1,up
00:15:45,10.61.8.1,down
00:23:49,10.61.1.1,down
00:23:51,10.61.128.1,up
00:23:52,10.61.2.1,up
00:23:56,10.61.8.1,down
00:23:58,10.61.6.1,up
00:23:59,10.56.41.161,up
00:24:01,10.61.129.1,up
00:24:02,10.61.129.144,up
00:24:05,10.61.130.1,down
00:24:07,10.61.131.1,up
00:24:10,10.61.132.1,down
00:24:10,10.61.133.1,up
00:24:12,יûגא,down
00:32:17,10.61.1.1,down
00:32:19,10.61.128.1,up
00:32:20,10.61.2.1,up
00:32:24,10.61.8.1,down
00:32:28,10.61.132.1,down
00:32:28,10.61.133.1,up
00:32:30,10.61.6.1,up
00:32:31,10.56.41.161,up
00:32:33,10.61.129.1,up
00:32:34,10.61.129.144,up
00:32:37,10.61.130.1,down
00:32:39,10.61.131.1,up
00:32:41,יûגא,down
00:40:45,10.61.8.1,down
00:40:49,10.61.1.1,down
00:40:51,10.61.128.1,up
00:40:52,10.61.2.1,up
00:40:55,10.61.130.1,down
00:40:57,10.61.131.1,up
00:41:01,10.61.132.1,down
00:41:02,10.61.133.1,up
00:41:04,10.61.6.1,up
00:41:06,10.56.41.161,up
00:41:07,10.61.129.1,up
00:41:09,10.61.129.144,up
00:41:11,יûגא,down
00:49:15,10.61.131.1,up
00:49:19,10.61.132.1,down
00:49:20,10.61.133.1,up
00:49:22,10.61.6.1,up
00:49:23,10.56.41.161,up
00:49:25,10.61.129.1,up
00:49:26,10.61.129.144,up
00:49:29,10.61.130.1,down
00:49:32,יûגא,down
00:49:36,10.61.1.1,down
00:49:37,10.61.128.1,up
00:49:39,10.61.2.1,up
00:49:43,10.61.8.1,down
00:57:44,10.61.133.1,up
00:57:46,10.61.6.1,up
00:57:47,10.56.41.161,up
00:57:49,10.61.129.1,up
00:57:50,10.61.129.144,up
00:57:53,10.61.130.1,down
00:57:55,10.61.131.1,up
00:57:59,10.61.132.1,down
00:58:01,יûגא,down
00:58:05,10.61.1.1,down
00:58:07,10.61.128.1,up
00:58:09,10.61.2.1,up
00:58:13,10.61.8.1,down
01:06:15,10.61.128.1,up
01:06:16,10.61.2.1,up
01:06:20,10.61.8.1,down
01:06:24,10.61.1.1,down
01:06:26,10.61.129.1,up
01:06:27,10.61.129.144,up
01:06:30,10.61.130.1,down
01:06:31,10.61.131.1,up
01:06:35,10.61.132.1,down
01:06:35,10.61.133.1,up
01:06:37,10.61.6.1,up
01:06:39,10.56.41.161,up
01:06:41,יûגא,down
01:14:46,10.61.1.1,down
01:14:47,10.61.128.1,up
01:14:49,10.61.2.1,up
01:14:53,10.61.8.1,down
01:14:53,10.61.133.1,up
01:14:55,10.61.6.1,up
01:14:56,10.56.41.161,up
01:14:58,10.61.129.1,up
01:14:59,10.61.129.144,up
01:15:02,10.61.130.1,down
01:15:04,10.61.131.1,up
01:15:08,10.61.132.1,down
01:15:10,יûגא,down
01:23:14,10.61.8.1,down
01:23:18,10.61.1.1,down
01:23:20,10.61.128.1,up
01:23:22,10.61.2.1,up
01:23:25,10.61.130.1,down
01:23:26,10.61.131.1,up
01:23:30,10.61.132.1,down
01:23:30,10.61.133.1,up
01:23:32,10.61.6.1,up
01:23:33,10.56.41.161,up
01:23:35,10.61.129.1,up
01:23:36,10.61.129.144,up
01:23:39,יûגא,down
01:31:41,10.61.129.1,up
01:31:43,10.61.129.144,up
01:31:46,10.61.130.1,down
01:31:47,10.61.131.1,up
01:31:51,10.61.132.1,down
01:31:51,10.61.133.1,up
01:31:53,10.61.6.1,up
01:31:55,10.56.41.161,up
01:31:57,יûגא,down
01:31:59,10.61.128.1,up
01:32:00,10.61.2.1,up
01:32:04,10.61.8.1,down
01:32:08,10.61.1.1,down
01:40:13,10.61.1.1,down
01:40:14,10.61.128.1,up
01:40:16,10.61.2.1,up
01:40:20,10.61.8.1,down
01:40:24,10.61.132.1,down
01:40:24,10.61.133.1,up
01:40:26,10.61.6.1,up
01:40:27,10.56.41.161,up
01:40:29,10.61.129.1,up
01:40:30,10.61.129.144,up
01:40:33,10.61.130.1,down
01:40:35,10.61.131.1,up
01:40:37,יûגא,down
01:48:42,10.61.1.1,down
01:48:43,10.61.128.1,up
01:48:45,10.61.2.1,up
01:48:49,10.61.8.1,down
01:48:53,10.61.132.1,down
01:48:53,10.61.133.1,up
01:48:55,10.61.6.1,up
01:48:56,10.56.41.161,up
01:48:58,10.61.129.1,up
01:48:59,10.61.129.144,up
01:49:03,10.61.130.1,down
01:49:04,10.61.131.1,up
01:49:06,יûגא,down
01:57:09,10.56.41.161,up
01:57:10,10.61.129.1,up
01:57:12,10.61.129.144,up
01:57:15,10.61.130.1,down
01:57:16,10.61.131.1,up
01:57:20,10.61.132.1,down
01:57:20,10.61.133.1,up
01:57:22,10.61.6.1,up
